alert_id,vehicle_id,alert_date,alert_type,severity,resolved,fault_code,alert_year,alert_month,status
1,VH052,2021-01-01,Overheating,MEDIUM,1,P0300,2021,1,Resolved
2,VH202,2021-01-01,Oil Level Low,MEDIUM,1,UNKNOWN,2021,1,Resolved
3,VH360,2021-01-02,Oil Level Low,MEDIUM,0,UNKNOWN,2021,1,Open
4,VH046,2021-01-02,Brake Wear,LOW,1,P0217,2021,1,Resolved
5,VH059,2021-01-03,Battery Low,MEDIUM,1,B0020,2021,1,Resolved
6,VH174,2021-01-03,Oil Level Low,LOW,1,UNKNOWN,2021,1,Resolved
7,VH032,2021-01-04,Engine Warning,HIGH,0,UNKNOWN,2021,1,Open
8,VH149,2021-01-04,Battery Low,LOW,1,UNKNOWN,2021,1,Resolved
9,VH285,2021-01-05,Abs Fault,MEDIUM,1,B0020,2021,1,Resolved
10,VH414,2021-01-05,Engine Warning,MEDIUM,0,UNKNOWN,2021,1,Open
11,VH121,2021-01-06,Battery Low,LOW,1,P0300,2021,1,Resolved
12,VH263,2021-01-06,Engine Warning,HIGH,1,P0420,2021,1,Resolved
13,VH042,2021-01-07,Engine Warning,MEDIUM,1,C0031,2021,1,Resolved
14,VH477,2021-01-07,Battery Low,HIGH,1,P0420,2021,1,Resolved
15,VH255,2021-01-08,Brake Wear,HIGH,1,C0031,2021,1,Resolved
16,VH330,2021-01-08,Engine Warning,HIGH,1,P0217,2021,1,Resolved
17,VH178,2021-01-09,Battery Low,HIGH,1,C0031,2021,1,Resolved
18,VH086,2021-01-09,Overheating,MEDIUM,0,C0031,2021,1,Open
19,VH017,2021-01-10,Abs Fault,LOW,0,P0217,2021,1,Open
20,VH402,2021-01-10,Overheating,HIGH,0,B0020,2021,1,Open
21,VH238,2021-01-11,Abs Fault,MEDIUM,1,C0031,2021,1,Resolved
22,VH133,2021-01-11,Brake Wear,HIGH,1,P0217,2021,1,Resolved
23,VH445,2021-01-12,Battery Low,MEDIUM,1,C0031,2021,1,Resolved
24,VH423,2021-01-12,Abs Fault,MEDIUM,1,P0420,2021,1,Resolved
25,VH209,2021-01-13,Brake Wear,LOW,1,P0217,2021,1,Resolved
26,VH354,2021-01-13,Abs Fault,HIGH,1,P0300,2021,1,Resolved
27,VH196,2021-01-14,Engine Warning,MEDIUM,1,UNKNOWN,2021,1,Resolved
28,VH425,2021-01-14,Abs Fault,MEDIUM,1,C0031,2021,1,Resolved
29,VH072,2021-01-15,Abs Fault,HIGH,1,C0031,2021,1,Resolved
30,VH026,2021-01-15,Overheating,LOW,0,P0420,2021,1,Open
31,VH089,2021-01-16,Brake Wear,HIGH,1,P0420,2021,1,Resolved
32,VH484,2021-01-16,Engine Warning,MEDIUM,0,P0300,2021,1,Open
33,VH235,2021-01-17,Overheating,HIGH,0,P0217,2021,1,Open
34,VH039,2021-01-17,Brake Wear,HIGH,1,UNKNOWN,2021,1,Resolved
35,VH459,2021-01-18,Engine Warning,MEDIUM,1,P0300,2021,1,Resolved
36,VH323,2021-01-18,Abs Fault,MEDIUM,0,P0300,2021,1,Open
37,VH044,2021-01-19,Oil Level Low,MEDIUM,1,B0020,2021,1,Resolved
38,VH360,2021-01-19,Overheating,HIGH,1,UNKNOWN,2021,1,Resolved
39,VH064,2021-01-20,Engine Warning,MEDIUM,0,P0300,2021,1,Open
40,VH476,2021-01-20,Oil Level Low,LOW,0,C0031,2021,1,Open
41,VH423,2021-01-21,Brake Wear,MEDIUM,0,P0300,2021,1,Open
42,VH184,2021-01-21,Oil Level Low,MEDIUM,1,UNKNOWN,2021,1,Resolved
43,VH473,2021-01-22,Abs Fault,LOW,1,P0420,2021,1,Resolved
44,VH086,2021-01-22,Overheating,MEDIUM,0,P0420,2021,1,Open
45,VH397,2021-01-23,Battery Low,HIGH,0,UNKNOWN,2021,1,Open
46,VH388,2021-01-23,Brake Wear,MEDIUM,0,C0031,2021,1,Open
47,VH284,2021-01-24,Oil Level Low,LOW,1,B0020,2021,1,Resolved
48,VH083,2021-01-24,Engine Warning,LOW,1,P0300,2021,1,Resolved
49,VH259,2021-01-25,Battery Low,LOW,0,P0217,2021,1,Open
