fuel_id,vehicle_id,fill_date,fuel_type,litres,km_driven,cost_inr,station,km_per_litre,fill_year,fill_month,cost_per_km
1,VH083,2021-01-01,Petrol,34.54,305.6,4063.35,HP,8.85,2021,1,13.3
2,VH415,2021-01-01,CNG,38.54,456.3,1769.53,HP,11.84,2021,1,3.88
3,VH002,2021-01-01,Petrol,28.87,311.4,5658.11,Reliance,10.79,2021,1,18.17
4,VH299,2021-01-01,Petrol,51.92,312.6,5037.41,Indian Oil,6.02,2021,1,16.11
5,VH217,2021-01-01,Petrol,17.55,340.0,3491.05,Reliance,19.37,2021,1,10.27
7,VH297,2021-01-02,Petrol,37.39,281.7,1646.41,Shell,7.53,2021,1,5.84
8,VH060,2021-01-02,Petrol,35.08,412.2,3740.76,Reliance,11.75,2021,1,9.08
10,VH203,2021-01-02,Diesel,46.6,266.7,3185.18,BPCL,5.72,2021,1,11.94
11,VH430,2021-01-03,Diesel,56.9,684.0,5169.08,BPCL,12.02,2021,1,7.56
12,VH040,2021-01-03,CNG,36.27,413.5,2318.66,BPCL,11.4,2021,1,5.61
13,VH315,2021-01-03,Diesel,35.38,401.9,2293.4,HP,11.36,2021,1,5.71
14,VH045,2021-01-03,Petrol,38.88,333.9,3847.55,HP,8.59,2021,1,11.52
15,VH298,2021-01-03,Petrol,17.94,456.2,4592.15,Indian Oil,25.43,2021,1,10.07
16,VH119,2021-01-04,Diesel,55.88,498.0,1600.98,HP,8.91,2021,1,3.21
17,VH492,2021-01-04,Diesel,45.05,409.1,3956.28,Reliance,9.08,2021,1,9.67
18,VH405,2021-01-04,Petrol,42.79,396.9,2844.15,Indian Oil,9.28,2021,1,7.17
19,VH131,2021-01-04,Petrol,56.69,550.2,4905.97,Indian Oil,9.71,2021,1,8.92
20,VH450,2021-01-04,Diesel,59.71,674.9,3609.92,Reliance,11.3,2021,1,5.35
21,VH395,2021-01-05,Diesel,22.35,638.9,5253.34,BPCL,28.59,2021,1,8.22
22,VH280,2021-01-05,Diesel,48.7,259.3,3286.39,HP,5.32,2021,1,12.67
23,VH050,2021-01-05,Petrol,41.1,526.2,5221.9,Indian Oil,12.8,2021,1,9.92
24,VH088,2021-01-05,Diesel,35.74,203.5,4724.28,BPCL,5.69,2021,1,23.22
25,VH021,2021-01-06,Diesel,58.99,516.5,5227.16,Shell,8.76,2021,1,10.12
26,VH409,2021-01-06,CNG,53.26,432.2,5155.89,BPCL,8.11,2021,1,11.93
27,VH388,2021-01-06,Diesel,46.35,445.6,3688.64,BPCL,9.61,2021,1,8.28
28,VH232,2021-01-06,Diesel,32.22,494.0,3156.41,HP,15.33,2021,1,6.39
29,VH381,2021-01-06,Diesel,44.97,571.3,4943.15,Shell,12.7,2021,1,8.65
30,VH043,2021-01-07,Diesel,38.93,564.7,3126.86,Indian Oil,14.51,2021,1,5.54
31,VH431,2021-01-07,Petrol,26.22,222.2,1902.28,Reliance,8.47,2021,1,8.56
32,VH023,2021-01-07,CNG,35.27,568.2,5364.8,Indian Oil,16.11,2021,1,9.44
33,VH444,2021-01-07,Diesel,24.55,614.9,3287.39,HP,25.05,2021,1,5.35
