log_id,vehicle_id,driver_id,service_date,service_type,cost_inr,km_at_service,overdue_flag,vendor,service_year,service_month,month_name,quarter
1,VH021,DR022,2021-01-01,Brake Check,4625.67,124273.8,1,PrimeTech,2021,1,Jan,Q1
2,VH300,DR114,2021-01-01,Oil Change,16317.55,32479.4,1,SpeedWheels,2021,1,Jan,Q1
3,VH139,DR133,2021-01-01,Tyre Rotation,10329.46,100740.5,0,Unknown Vendor,2021,1,Jan,Q1
4,VH359,DR018,2021-01-01,Full Service,3333.19,34591.9,0,PrimeTech,2021,1,Jan,Q1
5,VH324,DR166,2021-01-02,Tyre Rotation,9544.68,29334.9,0,SpeedWheels,2021,1,Jan,Q1
6,VH499,DR118,2021-01-02,Ac Service,15609.14,7312.0,1,PrimeTech,2021,1,Jan,Q1
7,VH385,DR117,2021-01-02,Wheel Alignment,7077.93,124745.4,1,SpeedWheels,2021,1,Jan,Q1
8,VH092,DR037,2021-01-02,Brake Check,12845.58,73214.3,1,PrimeTech,2021,1,Jan,Q1
9,VH447,DR064,2021-01-03,Oil Change,1479.16,24985.8,0,PrimeTech,2021,1,Jan,Q1
10,VH280,DR138,2021-01-03,Brake Check,12369.43,66339.2,0,SpeedWheels,2021,1,Jan,Q1
11,VH125,DR079,2021-01-03,Full Service,3476.73,37099.4,0,QuickFix Motors,2021,1,Jan,Q1
12,VH483,DR170,2021-01-03,Engine Tune-Up,16696.37,183922.0,0,AutoCare Hub,2021,1,Jan,Q1
13,VH397,DR123,2021-01-04,Full Service,7431.26,65800.9,1,SpeedWheels,2021,1,Jan,Q1
14,VH111,DR176,2021-01-04,Oil Change,5990.3,68451.2,0,PrimeTech,2021,1,Jan,Q1
15,VH354,DR044,2021-01-04,Ac Service,16897.34,164573.0,0,AutoCare Hub,2021,1,Jan,Q1
16,VH139,DR082,2021-01-04,Battery Replacement,1477.81,128073.6,1,QuickFix Motors,2021,1,Jan,Q1
17,VH484,DR087,2021-01-05,Wheel Alignment,10329.46,139932.6,0,SpeedWheels,2021,1,Jan,Q1
18,VH435,DR016,2021-01-05,Wheel Alignment,7715.07,125840.3,0,PrimeTech,2021,1,Jan,Q1
19,VH273,DR054,2021-01-05,Tyre Rotation,6053.61,184777.3,1,PrimeTech,2021,1,Jan,Q1
20,VH099,DR102,2021-01-05,Tyre Rotation,18279.21,44330.2,1,SpeedWheels,2021,1,Jan,Q1
21,VH252,DR163,2021-01-06,Full Service,15143.1,192917.5,1,PrimeTech,2021,1,Jan,Q1
22,VH338,DR098,2021-01-06,Brake Check,1746.5,162881.7,0,AutoCare Hub,2021,1,Jan,Q1
23,VH104,DR156,2021-01-06,Engine Tune-Up,14436.41,116904.8,0,PrimeTech,2021,1,Jan,Q1
24,VH214,DR002,2021-01-06,Brake Check,10782.33,130850.6,0,Unknown Vendor,2021,1,Jan,Q1
25,VH249,DR094,2021-01-07,Ac Service,18066.92,128276.9,0,AutoCare Hub,2021,1,Jan,Q1
26,VH152,DR141,2021-01-07,Battery Replacement,6602.44,16095.3,0,SpeedWheels,2021,1,Jan,Q1
27,VH250,DR169,2021-01-07,Wheel Alignment,11696.16,46423.1,1,PrimeTech,2021,1,Jan,Q1
28,VH275,DR059,2021-01-07,Brake Check,10264.73,187679.5,0,AutoCare Hub,2021,1,Jan,Q1
29,VH165,DR069,2021-01-08,Wheel Alignment,10046.44,106529.2,0,PrimeTech,2021,1,Jan,Q1
30,VH487,DR119,2021-01-08,Tyre Rotation,9394.06,76887.2,1,AutoCare Hub,2021,1,Jan,Q1
31,VH341,DR092,2021-01-08,Wheel Alignment,10329.46,149787.3,1,QuickFix Motors,2021,1,Jan,Q1
32,VH008,DR181,2021-01-08,Engine Tune-Up,15236.34,104658.6,0,SpeedWheels,2021,1,Jan,Q1
